date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:46	17892/17892	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jun%202018%2008:48:01%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/4016577screen-shot-2015-06-22-at-1-31-02-pm-jpeg.jpg?v=1488273815943	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/4016577screen-shot-2015-06-22-at-1-31-02-pm-jpege81d.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:46	26092/26092	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Jul%202018%2006:34:50%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/4016187screen-shot-2015-06-22-at-1-31-19-pm-jpeg.jpg?v=1488273814183	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/4016187screen-shot-2015-06-22-at-1-31-19-pm-jpeg1706.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:46	2088/2088	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Jul%202018%2006:34:50%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/1017343screen-shot-2015-06-23-at-9-13-51-am-jpeg.jpg?v=1488273806017	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/1017343screen-shot-2015-06-23-at-9-13-51-am-jpeg6b82.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:47	2239/2239	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jun%202018%2008:48:04%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/4015937screen-shot-2015-06-22-at-1-30-47-pm-jpeg.jpg?v=1488273807630	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/4015937screen-shot-2015-06-22-at-1-30-47-pm-jpeg6f0b.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:47	25070/25070	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Jul%202018%2006:34:50%20GMT	http://bizweb.dktcdn.net/thumb/large/100/183/542/products/4110974screen-shot-2015-06-22-at-1-31-40-pm-jpeg.jpg?v=1488273818343	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/large/100/183/542/products/4110974screen-shot-2015-06-22-at-1-31-40-pm-jpeg14f1.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:47	1985/1985	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jun%202018%2008:48:01%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/4016093screen-shot-2015-06-22-at-1-30-58-pm-jpeg.jpg?v=1488273809023	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/4016093screen-shot-2015-06-22-at-1-30-58-pm-jpegbbb5.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:48	1910/1910	---M--	200	added ('OK')	image/jpeg	date:Thu,%2029%20Nov%202018%2007:23:46%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/4016125screen-shot-2015-06-22-at-1-31-06-pm-jpeg.jpg?v=1488273810790	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/4016125screen-shot-2015-06-22-at-1-31-06-pm-jpegc64f.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:48	3069/3069	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jun%202018%2008:48:02%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/4016187screen-shot-2015-06-22-at-1-31-19-pm-jpeg.jpg?v=1488273814183	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/4016187screen-shot-2015-06-22-at-1-31-19-pm-jpeg1706.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:48	2250/2250	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Jul%202018%2006:34:50%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/4016577screen-shot-2015-06-22-at-1-31-02-pm-jpeg.jpg?v=1488273815943	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/4016577screen-shot-2015-06-22-at-1-31-02-pm-jpege81d.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
14:23:49	3041/3041	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jun%202018%2008:48:01%20GMT	http://bizweb.dktcdn.net/thumb/small/100/183/542/products/4110974screen-shot-2015-06-22-at-1-31-40-pm-jpeg.jpg?v=1488273818343	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/thumb/small/100/183/542/products/4110974screen-shot-2015-06-22-at-1-31-40-pm-jpeg14f1.jpg	(from https://mac-cafe.vn/de-sac-jcpal-cho-applewatch-bowl-design)
